name;name_enc;region_code;link;category
Hyatt Place Atlanta/Duluth/Johns Creek;Hyatt%20Place%20Atlanta%2FDuluth%2FJohns%20Creek;atlzj;https://www.hyatt.com/en-US/hotel/georgia/hyatt-place-atlanta-duluth-johns-creek/atlzj;1
Hyatt Place Atlanta/Norcross/Peachtree;Hyatt%20Place%20Atlanta%2FNorcross%2FPeachtree;atlzn;https://www.hyatt.com/en-US/hotel/georgia/hyatt-place-atlanta-norcross-peachtree/atlzn;1
Hyatt Place Columbus-North;Hyatt%20Place%20Columbus-North;csgzc;https://www.hyatt.com/en-US/hotel/georgia/hyatt-place-columbus-north/csgzc;1
Hyatt Place Boise/Towne Square;Hyatt%20Place%20Boise%2FTowne%20Square;boizt;https://www.hyatt.com/en-US/hotel/idaho/hyatt-place-boise-towne-square/boizt;1
Hyatt House Chicago / Oak Brook;Hyatt%20House%20Chicago%20%2F%20Oak%20Brook;chixo;https://www.hyatt.com/en-US/hotel/illinois/hyatt-house-chicago-oak-brook/chixo;1
Hyatt House Chicago/Naperville/Warrenville;Hyatt%20House%20Chicago%2FNaperville%2FWarrenville;chixw;https://www.hyatt.com/en-US/hotel/illinois/hyatt-house-chicago-naperville-warrenville/chixw;1
Hyatt House Chicago/Schaumburg;Hyatt%20House%20Chicago%2FSchaumburg;chixs;https://www.hyatt.com/en-US/hotel/illinois/hyatt-house-chicago-schaumburg/chixs;1
Hyatt House East Moline / Quad Cities;Hyatt%20House%20East%20Moline%20%2F%20Quad%20Cities;mlixe;https://www.hyatt.com/en-US/hotel/illinois/hyatt-house-east-moline-quad-cities/mlixe;1
Hyatt Place Bloomington/Normal;Hyatt%20Place%20Bloomington%2FNormal;piazn;https://www.hyatt.com/en-US/hotel/illinois/hyatt-place-bloomington-normal/piazn;1
Hyatt Place Chicago/Hoffman Estates;Hyatt%20Place%20Chicago%2FHoffman%20Estates;chizh;https://www.hyatt.com/en-US/hotel/illinois/hyatt-place-chicago-hoffman-estates/chizh;1
Hyatt Place Chicago/Itasca;Hyatt%20Place%20Chicago%2FItasca;chizi;https://www.hyatt.com/en-US/hotel/illinois/hyatt-place-chicago-itasca/chizi;1
Hyatt Place Chicago/Lombard/Oak Brook;Hyatt%20Place%20Chicago%2FLombard%2FOak%20Brook;chizl;https://www.hyatt.com/en-US/hotel/illinois/hyatt-place-chicago-lombard-oak-brook/chizl;1
